sample_name,Tdry_C,Twet_C,mean_canopy_temp_C,mean_cwsi,std_cwsi,cv_cwsi,min_cwsi,max_cwsi,median_cwsi,canopy_area_pixels,area_below_03_pixels,area_low_stress_pixels,area_medium_stress_pixels,area_high_stress_pixels,fraction_below_03,fraction_low_stress,fraction_medium_stress,fraction_high_stress,threshold_used
20260601_1200,42.76,22.47,32.34,0.5136,0.0921,0.1792,0.0172,0.6091,0.5438,80764,4223,76516,25,0,0.0523,0.9474,0.0003,0.0000,179.17
20260601_1200,42.76,22.47,32.34,0.5136,0.0921,0.1792,0.0172,0.6091,0.5438,80764,4223,76516,25,0,0.0523,0.9474,0.0003,0.0000,179.17
